id,isDefault
0,0.01475566
1,0.071085356
2,0.120023018
3,0.067615372
4,0.072023526
5,0.004246261
6,0.049984075
7,0.006514197
8,0.116449772
9,0.007063367
10,0.066996216
11,0.073201788
12,0.067351979
13,0.030929048
14,0.023530098
15,0.030482724
16,0.041387095
17,0.03123944
18,0.00510803
19,0.052182586
20,0.010945535
21,0.020156778
22,0.040935358
23,0.009199615
24,0.069608703
25,0.034693378
26,0.00819138
27,0.024867117
28,0.042418418
29,0.039797357
30,0.012417936
31,0.024092534
32,0.018781959
33,0.0309261
34,0.117208348
35,0.086995385
36,0.005211488
37,0.038875221
38,0.028709079
39,0.039839371
40,0.052106532
41,0.037017865
42,0.001511792
43,0.030122484
44,0.012217125
45,0.029218611
46,0.041279679
47,0.032180245
48,0.02044027
49,0.060513998
50,0.070183535
51,0.037205844
52,0.005279601
53,0.084873419
54,0.118887081
55,0.052478004
56,0.09829034
57,0.035192389
58,0.126313995
59,0.058237529
60,0.096618184
61,0.010997712
62,0.020656198
63,0.04389476
64,0.003468944
65,0.020010374
66,0.073139497
67,0.023280104
68,0.019211125
69,0.018611767
70,0.035920054
71,0.005169665
72,0.026864019
73,0.023628413
74,0.004897079
75,0.025950801
76,0.009394376
77,0.039693397
78,0.036473085
79,0.044888176
80,0.066889224
81,0.006819596
82,0.112476276
83,0.097238653
84,0.057626955
85,0.048032011
86,0.021070091
87,0.018073259
88,0.043186954
89,0.028731239
90,0.035621512
91,0.079997695
92,0.004887183
93,0.012912771
94,0.017858557
95,0.018816132
96,0.016666171
97,0.090365693
98,0.041417874
99,0.037036404
100,0.023826458
101,0.03366532
102,0.017201443
103,0.022807768
104,0.007982856
105,0.093075161
106,0.018198519
107,0.052732941
108,0.017553061
109,0.044777701
110,0.05450527
111,0.085986741
112,0.018579649
113,0.010677512
114,0.024272443
115,0.028689304
116,0.076732089
117,0.047453284
118,0.038360819
119,0.008850678
120,0.048242292
121,0.015671506
122,0.058085363
123,0.045046324
124,0.056956096
125,0.046611302
126,0.03578706
127,0.038680535
128,0.030378402
129,0.024496347
130,0.057330488
131,0.055837239
132,0.025597897
133,0.004939305
134,0.050469364
135,0.010972186
136,0.006972864
137,0.034886713
138,0.035110889
139,0.042565711
140,0.03985566
141,0.045285475
142,0.05593217
143,0.013120986
144,0.045652934
145,0.057740795
146,0.024575813
147,0.020484742
148,0.013575453
149,0.083228823
150,0.031490503
151,0.005047424
152,0.015272017
153,0.015664488
154,0.065381905
155,0.005623974
156,0.022823151
157,0.027806543
158,0.01694886
159,0.021797154
160,0.064355688
161,0.030839878
162,0.017825972
163,0.024659655
164,0.068748231
165,0.014088025
166,0.081346928
167,0.105389303
168,0.014799867
169,0.031501402
170,0.027546475
171,0.009152372
172,0.013404839
173,0.047520076
174,0.034249773
175,0.054604503
176,0.097531427
177,0.022010302
178,0.008711265
179,0.004637695
180,0.063674703
181,0.029937514
182,0.115855948
183,0.055272889
184,0.040042316
185,0.017839725
186,0.017308876
187,0.022016253
188,0.027020291
189,0.004991633
190,0.041066349
191,0.015495251
192,0.022970502
193,0.070028057
194,0.032139176
195,0.0048761
196,0.026508162
197,0.047575973
198,0.020310537
199,0.029502805
200,0.051556889
201,0.02138916
202,0.060440931
203,0.079006545
204,0.01605982
205,0.07584342
206,0.010113552
207,0.048595247
208,0.05516636
209,0.060947277
210,0.019024348
211,0.063368042
212,0.125517019
213,0.106867707
214,0.003601757
215,0.022818606
216,0.068871266
217,0.017238888
218,0.073873956
219,0.033053659
220,0.048681293
221,0.03184726
222,0.015157544
223,0.025665714
224,0.027458745
225,0.016187931
226,0.004159627
227,0.102544286
228,0.075880027
229,0.028861987
230,0.073560661
231,0.00934499
232,0.039157722
233,0.014284845
234,0.008389585
235,0.143936047
236,0.077312542
237,0.011259435
238,0.020980912
239,0.046063782
240,0.040745073
241,0.025995985
242,0.034707787
243,0.016020784
244,0.025532756
245,0.037174907
246,0.089393504
247,0.001485099
248,0.041479499
249,0.023728168
250,0.072377262
251,0.067913849
252,0.064692462
253,0.038473193
254,0.027804462
255,0.031965912
256,0.026106503
257,0.032724579
258,0.10418541
259,0.043137058
260,0.057034758
261,0.083694792
262,0.060782498
263,0.012379207
264,0.109366572
265,0.007526804
266,0.006850808
267,0.036142508
268,0.076777985
269,0.094482888
270,0.057706354
271,0.030003555
272,0.03493526
273,0.019733074
274,0.064552907
275,0.008228955
276,0.041299106
277,0.081850254
278,0.007046483
279,0.065451097
280,0.033141433
281,0.018736653
282,0.014781528
283,0.058984725
284,0.02849264
285,0.034903004
286,0.028701255
287,0.08057128
288,0.060402255
289,0.040427186
290,0.031994327
291,0.052576169
292,0.035925588
293,0.119874811
294,0.05585327
295,0.05067399
296,0.075090256
297,0.027718896
298,0.022801167
299,0.003969333
300,0.023112483
301,0.02187558
302,0.04780159
303,0.056574128
304,0.054050401
305,0.048438569
306,0.040655524
307,0.041111226
308,0.123857585
309,0.036528241
310,0.028589636
311,0.044244895
312,0.056811051
313,0.050625664
314,0.004024469
315,0.010332665
316,0.019484337
317,0.027063973
318,0.060468607
319,0.043226312
320,0.023783858
321,0.043297095
322,0.025446256
323,0.031110173
324,0.043658592
325,0.031949302
326,0.062630843
327,0.008933951
328,0.034865248
329,0.009213881
330,0.057529634
331,0.056776961
332,0.007081685
333,0.003808973
334,0.084787911
335,0.053199226
336,0.040457048
337,0.030245376
338,0.099273162
